Game,Player Name,Number Shots,Average Shots,HOME_TEAM,AWAY_TEAM,FIRST_INDEX,LAST_INDEX,Best_Player
1.0,Derrick Rose,5.0,3.333333333333333,Bulls,Cavaliers,0.0,69.0,Pau Gasol
1.0,LeBron James,4.0,2.333333333333333,Bulls,Cavaliers,0.0,69.0,LeBron James
2.0,Tobias Harris,5.0,3.4,Magic,Wizards,70.0,149.0,Nikola Vucevic
2.0,Bradley Beal,5.0,2.6,Magic,Wizards,70.0,149.0,John Wall
3.0,Jahlil Okafor,4.0,1.5714285714285714,Celtics,76ers,150.0,224.0,Isaiah Thomas
3.0,Terry Rozier,2.0,1.4285714285714286,Celtics,76ers,150.0,224.0,Jahlil Okafor
4.0,Alec Burks,5.0,2.0,Pistons,Jazz,225.0,301.0,Andre Drummond
4.0,Reggie Jackson,3.0,1.8,Pistons,Jazz,225.0,301.0,Derrick Favors
5.0,Paul George,4.0,2.2,Pacers,Raptors,302.0,396.0,Paul George
5.0,DeMar DeRozan,4.0,2.2,Pacers,Raptors,302.0,396.0,Jonas Valanciunas
6.0,LaMarcus Aldridge,4.0,2.8,Thunder,Spurs,397.0,475.0,Kevin Durant
6.0,Russell Westbrook,4.0,2.2,Thunder,Spurs,397.0,475.0,Kawhi Leonard
7.0,Paul Pierce,3.0,2.0,Clippers,Kings,476.0,545.0,Chris Paul
7.0,Rudy Gay,4.0,2.0,Clippers,Kings,476.0,545.0,DeMarcus Cousins
8.0,Kobe Bryant,4.0,2.333333333333333,Lakers,Timberwolves,546.0,624.0,Lou Williams
8.0,Ricky Rubio,3.0,2.0,Lakers,Timberwolves,546.0,624.0,Karl-Anthony Towns
9.0,Mike Conley,3.0,2.0,Pacers,Grizzlies,625.0,690.0,Paul George
9.0,Paul George,5.0,3.333333333333333,Pacers,Grizzlies,625.0,690.0,Mike Conley
10.0,Elfrid Payton,5.0,2.4,Thunder,Magic,691.0,773.0,Kevin Durant
10.0,Russell Westbrook,5.0,3.0,Thunder,Magic,691.0,773.0,Nikola Vucevic
11.0,Derrick Rose,7.0,3.0,Bulls,Pistons,774.0,830.0,Pau Gasol
11.0,Reggie Jackson,5.0,2.4,Bulls,Pistons,774.0,830.0,Andre Drummond
12.0,Jerryd Bayless,4.0,2.4,Bucks,Wizards,831.0,904.0,Greg Monroe
12.0,Bradley Beal,4.0,2.333333333333333,Bucks,Wizards,831.0,904.0,John Wall
13.0,Will Barton,3.0,1.7142857142857142,Nuggets,Timberwolves,905.0,976.0,Nikola Jokic
13.0,Karl-Anthony Towns,4.0,1.8333333333333333,Nuggets,Timberwolves,905.0,976.0,Karl-Anthony Towns
14.0,Carmelo Anthony,5.0,2.4,Knicks,Wizards,977.0,1051.0,Carmelo Anthony
14.0,Bradley Beal,5.0,3.0,Knicks,Wizards,977.0,1051.0,John Wall
15.0,Markieff Morris,6.0,3.0,Suns,Trail Blazers,1052.0,1127.0,Eric Bledsoe
15.0,Damian Lillard,3.0,1.6,Suns,Trail Blazers,1052.0,1127.0,Damian Lillard
16.0,Blake Griffin,5.0,3.5,Clippers,Kings,1128.0,1201.0,Chris Paul
16.0,Rudy Gay,9.0,3.4,Clippers,Kings,1128.0,1201.0,Rajon Rondo
17.0,Kent Bazemore,3.0,1.6666666666666667,Hawks,Hornets,1202.0,1283.0,Paul Millsap
17.0,Nicolas Batum,4.0,2.142857142857143,Hawks,Hornets,1202.0,1283.0,Kemba Walker
18.0,Jared Sullinger,3.0,2.1666666666666665,Celtics,Spurs,1284.0,1361.0,Isaiah Thomas
