HOME_TEAM,AWAY_TEAM,GAME NUMBER,FIRST_INDEX,LAST_INDEX
Bulls,Cavaliers,1.0,0.0,69.0
Magic,Wizards,2.0,70.0,149.0
Celtics,76ers,3.0,150.0,224.0
Pistons,Jazz,4.0,225.0,301.0
Pacers,Raptors,5.0,302.0,396.0
Thunder,Spurs,6.0,397.0,475.0
Clippers,Kings,7.0,476.0,545.0
Lakers,Timberwolves,8.0,546.0,624.0
Pacers,Grizzlies,9.0,625.0,690.0
Thunder,Magic,10.0,691.0,773.0
Bulls,Pistons,11.0,774.0,830.0
Bucks,Wizards,12.0,831.0,904.0
Nuggets,Timberwolves,13.0,905.0,976.0
Knicks,Wizards,14.0,977.0,1051.0
Suns,Trail Blazers,15.0,1052.0,1127.0
Clippers,Kings,16.0,1128.0,1201.0
Hawks,Hornets,17.0,1202.0,1283.0
Celtics,Spurs,18.0,1284.0,1361.0
Rockets,Heat,19.0,1362.0,1416.0
Nets,Bucks,20.0,1417.0,1493.0
Knicks,Spurs,21.0,1494.0,1569.0
Rockets,Thunder,22.0,1570.0,1642.0
Timberwolves,Trail Blazers,23.0,1643.0,1725.0
Clippers,Suns,24.0,1726.0,1823.0
Hawks,Heat,25.0,1824.0,1911.0
Pelicans,Magic,26.0,1912.0,1973.0
Mavericks,Raptors,27.0,1974.0,2051.0
Nuggets,Lakers,28.0,2052.0,2119.0
Celtics,Pacers,29.0,2120.0,2196.0
Spurs,Wizards,30.0,2197.0,2262.0
Hawks,Nets,31.0,2263.0,2331.0
Cavaliers,Knicks,32.0,2332.0,2382.0
Rockets,Magic,33.0,2383.0,2462.0
Bucks,76ers,34.0,2463.0,2527.0
Thunder,Raptors,35.0,2528.0,2604.0
Trail Blazers,Jazz,36.0,2605.0,2669.0
Warriors,Clippers,37.0,2670.0,2758.0
Bulls,Thunder,38.0,2759.0,2809.0
Nuggets,Jazz,39.0,2810.0,2887.0
Magic,Raptors,40.0,2888.0,2941.0
Nets,Lakers,41.0,2942.0,3032.0
Bucks,Knicks,42.0,3033.0,3107.0
Pacers,Heat,43.0,3108.0,3203.0
Hawks,Pelicans,44.0,3204.0,3283.0
Pistons,Suns,45.0,3284.0,3378.0
Rockets,Kings,46.0,3379.0,3449.0
Bulls,Timberwolves,47.0,3450.0,3535.0
Hawks,Wizards,48.0,3536.0,3606.0
Magic,76ers,49.0,3607.0,3714.0
Warriors,Kings,50.0,3715.0,3781.0
Rockets,Clippers,51.0,3782.0,3890.0
Cavaliers,Pacers,52.0,3891.0,3973.0
Lakers,Knicks,53.0,3974.0,4066.0
Pistons,Trail Blazers,54.0,4067.0,4133.0
Pacers,Magic,55.0,4134.0,4190.0
Hawks,Timberwolves,56.0,4191.0,4262.0
Nuggets,Trail Blazers,57.0,4263.0,4336.0
Clippers,Grizzlies,58.0,4337.0,4444.0
Cavaliers,Jazz,59.0,4445.0,4556.0
Knicks,Raptors,60.0,4557.0,4651.0
Hornets,Knicks,61.0,4652.0,4719.0
Lakers,Magic,62.0,4720.0,4785.0
Celtics,Pacers,63.0,4786.0,4843.0
Hawks,Pelicans,64.0,4844.0,4909.0
Mavericks,Clippers,65.0,4910.0,5005.0
Nets,Rockets,66.0,5006.0,5077.0
Nuggets,Bucks,67.0,5078.0,5148.0
Pistons,Kings,68.0,5149.0,5217.0
Heat,Jazz,69.0,5218.0,5316.0
Warriors,Timberwolves,70.0,5317.0,5395.0
Pacers,Timberwolves,71.0,5396.0,5473.0
Hawks,Celtics,72.0,5474.0,5527.0
Cavaliers,Knicks,73.0,5528.0,5594.0
Hornets,Bulls,74.0,5595.0,5662.0
Grizzlies,Trail Blazers,75.0,5663.0,5753.0
Mavericks,Lakers,76.0,5754.0,5836.0
Nuggets,Rockets,77.0,5837.0,5911.0
Nets,Kings,78.0,5912.0,6014.0
Pistons,Clippers,79.0,6015.0,6099.0
Magic,Wizards,80.0,6100.0,6169.0
Cavaliers,Bucks,81.0,6170.0,6239.0
76ers,Spurs,82.0,6240.0,6312.0
Nets,Warriors,83.0,6313.0,6398.0
Pelicans,Knicks,84.0,6399.0,6457.0
Grizzlies,Timberwolves,85.0,6458.0,6540.0
Hornets,Trail Blazers,86.0,6541.0,6616.0
Hawks,Jazz,87.0,6617.0,6668.0
Kings,Raptors,88.0,6669.0,6731.0
Pistons,Lakers,89.0,6732.0,6812.0
Mavericks,76ers,90.0,6813.0,6884.0
Bulls,Pacers,91.0,6885.0,6962.0
Grizzlies,Thunder,92.0,6963.0,7039.0
Trail Blazers,Spurs,93.0,7040.0,7089.0
Hawks,Nets,94.0,7090.0,7169.0
Cavaliers,Pistons,95.0,7170.0,7254.0
Heat,Timberwolves,96.0,7255.0,7339.0
Hornets,Knicks,97.0,7340.0,7405.0
Nuggets,Pelicans,98.0,7406.0,7458.0
Warriors,Raptors,99.0,7459.0,7554.0
Nets,Hornets,100.0,7555.0,7647.0
Timberwolves,Magic,101.0,7648.0,7730.0
Celtics,Mavericks,102.0,7731.0,7820.0
Hawks,Kings,103.0,7821.0,7887.0
Rockets,Trail Blazers,104.0,7888.0,7983.0
Pelicans,Thunder,105.0,7984.0,8062.0
Raptors,Jazz,106.0,8063.0,8137.0
Bulls,Suns,107.0,8138.0,8193.0
Warriors,Clippers,108.0,8194.0,8251.0
Pistons,Timberwolves,109.0,8252.0,8314.0
Pelicans,Spurs,110.0,8315.0,8370.0
Mavericks,Jazz,111.0,8371.0,8428.0
Nuggets,Suns,112.0,8429.0,8496.0
Clippers,Trail Blazers,113.0,8497.0,8578.0
Bulls,Warriors,114.0,8579.0,8643.0
Magic,Kings,115.0,8644.0,8709.0
Pistons,Wizards,116.0,8710.0,8787.0
Heat,76ers,117.0,8788.0,8870.0
Rockets,Knicks,118.0,8871.0,8964.0
Clippers,Raptors,119.0,8965.0,9037.0
Nets,Celtics,120.0,9038.0,9127.0
Pelicans,Suns,121.0,9128.0,9222.0
Mavericks,Thunder,122.0,9223.0,9312.0
Lakers,Trail Blazers,123.0,9313.0,9382.0
Timberwolves,76ers,124.0,9383.0,9459.0
Suns,Spurs,125.0,9460.0,9514.0
Mavericks,Grizzlies,126.0,9515.0,9597.0
Bulls,Trail Blazers,127.0,9598.0,9698.0
Hornets,Wizards,128.0,9699.0,9762.0
Cavaliers,Raptors,129.0,9763.0,9823.0
Rockets,Grizzlies,130.0,9824.0,9885.0
Bucks,Kings,131.0,9886.0,9974.0
Hawks,Timberwolves,132.0,9975.0,10060.0
Nets,Thunder,133.0,10061.0,10112.0
Mavericks,Spurs,134.0,10113.0,10171.0
Pelicans,Suns,135.0,10172.0,10262.0
Clippers,Jazz,136.0,10263.0,10316.0
Hornets,Cavaliers,137.0,10317.0,10388.0
Bulls,Pacers,138.0,10389.0,10468.0
Rockets,76ers,139.0,10469.0,10574.0
Hawks,Grizzlies,140.0,10575.0,10646.0
Timberwolves,Kings,141.0,10647.0,10712.0
Raptors,Wizards,142.0,10713.0,10791.0
Nets,Cavaliers,143.0,10792.0,10869.0
Pelicans,Jazz,144.0,10870.0,10919.0
Lakers,Trail Blazers,145.0,10920.0,10990.0
Hornets,Bucks,146.0,10991.0,11043.0
Clippers,Timberwolves,147.0,11044.0,11119.0
Nets,Pistons,148.0,11120.0,11194.0
Suns,Raptors,149.0,11195.0,11279.0
Grizzlies,76ers,150.0,11280.0,11360.0
Rockets,Knicks,151.0,11361.0,11418.0
Pacers,Lakers,152.0,11419.0,11517.0
Pistons,Rockets,153.0,11518.0,11609.0
Celtics,Heat,154.0,11610.0,11689.0
Hawks,Thunder,155.0,11690.0,11773.0
Bulls,Spurs,156.0,11774.0,11842.0
Warriors,Jazz,157.0,11843.0,11899.0
Mavericks,Kings,158.0,11900.0,11968.0
Nets,Suns,159.0,11969.0,12033.0
Timberwolves,Magic,160.0,12034.0,12126.0
Grizzlies,Pelicans,161.0,12127.0,12187.0
Mavericks,Trail Blazers,162.0,12188.0,12253.0
Lakers,Wizards,163.0,12254.0,12337.0
Hawks,Raptors,164.0,12338.0,12416.0
Bulls,Nuggets,165.0,12417.0,12506.0
Rockets,Pelicans,166.0,12507.0,12589.0
Heat,Thunder,167.0,12590.0,12665.0
Nuggets,Raptors,168.0,12666.0,12763.0
Magic,Jazz,169.0,12764.0,12826.0
Pacers,Trail Blazers,170.0,12827.0,12888.0
Suns,Wizards,171.0,12889.0,12984.0
Pistons,Bucks,172.0,12985.0,13084.0
Hawks,Lakers,173.0,13085.0,13150.0
Mavericks,Rockets,174.0,13151.0,13222.0
Nuggets,76ers,175.0,13223.0,13304.0
Warriors,Raptors,176.0,13305.0,13396.0
Hornets,Bulls,177.0,13397.0,13480.0
Rockets,Kings,178.0,13481.0,13564.0
Timberwolves,Trail Blazers,179.0,13565.0,13644.0
Pacers,Jazz,180.0,13645.0,13749.0
Clippers,Magic,181.0,13750.0,13825.0
Grizzlies,Suns,182.0,13826.0,13912.0
Mavericks,Wizards,183.0,13913.0,13965.0
Thunder,Kings,184.0,13966.0,14060.0
Heat,Wizards,185.0,14061.0,14126.0
Lakers,Raptors,186.0,14127.0,14191.0
Bulls,Suns,187.0,14192.0,14281.0
Bucks,Trail Blazers,188.0,14282.0,14378.0
Clippers,Timberwolves,189.0,14379.0,14505.0
Cavaliers,Trail Blazers,190.0,14506.0,14581.0
Nets,Rockets,191.0,14582.0,14648.0
Nuggets,Magic,192.0,14649.0,14725.0
Kings,Jazz,193.0,14726.0,14805.0
Celtics,Bulls,194.0,14806.0,14922.0
Rockets,Wizards,195.0,14923.0,14994.0
Pistons,Grizzlies,196.0,14995.0,15077.0
Spurs,Raptors,197.0,15078.0,15133.0
Clippers,Bucks,198.0,15134.0,15215.0
Lakers,Timberwolves,199.0,15216.0,15291.0
Magic,Suns,200.0,15292.0,15374.0
Hawks,Mavericks,201.0,15375.0,15439.0
Nets,76ers,202.0,15440.0,15502.0
Bulls,Clippers,203.0,15503.0,15563.0
Hawks,Thunder,204.0,15564.0,15637.0
Knicks,Kings,205.0,15638.0,15722.0
Pacers,Heat,206.0,15723.0,15765.0
Celtics,Warriors,207.0,15766.0,15844.0
Bucks,Raptors,208.0,15845.0,15901.0
Pelicans,Wizards,209.0,15902.0,15987.0
Nuggets,Timberwolves,210.0,15988.0,16073.0
Suns,Trail Blazers,211.0,16074.0,16120.0
Celtics,Hornets,212.0,16121.0,16195.0
Bulls,Pelicans,213.0,16196.0,16256.0
Knicks,Trail Blazers,214.0,16257.0,16337.0
Grizzlies,Heat,215.0,16338.0,16402.0
76ers,Raptors,216.0,16403.0,16483.0
Thunder,Jazz,217.0,16484.0,16549.0
Pistons,Clippers,218.0,16550.0,16628.0
Pelicans,Trail Blazers,219.0,16629.0,16712.0
Celtics,Cavaliers,220.0,16713.0,16769.0
Rockets,Kings,221.0,16770.0,16841.0
Nets,Heat,222.0,16842.0,16914.0
Celtics,Pistons,223.0,16915.0,17007.0
Timberwolves,Knicks,224.0,17008.0,17098.0
Bulls,Grizzlies,225.0,17099.0,17165.0
Pelicans,Jazz,226.0,17166.0,17223.0
Clippers,Bucks,227.0,17224.0,17263.0
Hornets,Raptors,228.0,17264.0,17330.0
Cavaliers,Thunder,229.0,17331.0,17392.0
Nets,Pacers,230.0,17393.0,17450.0
Magic,Trail Blazers,231.0,17451.0,17524.0
Hawks,Celtics,232.0,17525.0,17613.0
Heat,Raptors,233.0,17614.0,17670.0
Bulls,Pistons,234.0,17671.0,17745.0
Timberwolves,Kings,235.0,17746.0,17832.0
Clippers,Spurs,236.0,17833.0,17922.0
Nuggets,Jazz,237.0,17923.0,17985.0
Warriors,Bucks,238.0,17986.0,18068.0
Hornets,Wizards,239.0,18069.0,18140.0
Pacers,Grizzlies,240.0,18141.0,18199.0
Heat,Trail Blazers,241.0,18200.0,18290.0
Bucks,Suns,242.0,18291.0,18354.0
Hawks,Magic,243.0,18355.0,18420.0
Kings,Raptors,244.0,18421.0,18481.0
Nuggets,Pelicans,245.0,18482.0,18563.0
Kings,Wizards,246.0,18564.0,18619.0
Knicks,Magic,247.0,18620.0,18675.0
Nets,Bulls,248.0,18676.0,18757.0
Hornets,Rockets,249.0,18758.0,18848.0
Clippers,Thunder,250.0,18849.0,18917.0
Pistons,Heat,251.0,18918.0,18989.0
