Game,Player Name,Number Shots,Average Shots
1.0,Derrick Rose,5.0,3.3333333333333335
1.0,LeBron James,4.0,2.3333333333333335
2.0,Tobias Harris,5.0,3.4
2.0,Bradley Beal,5.0,2.6
3.0,Jahlil Okafor,4.0,1.5714285714285714
3.0,Terry Rozier,2.0,1.4285714285714286
4.0,Alec Burks,5.0,2.0
4.0,Reggie Jackson,3.0,1.8
5.0,Paul George,4.0,2.2
5.0,DeMar DeRozan,4.0,2.2
6.0,LaMarcus Aldridge,4.0,2.8
6.0,Russell Westbrook,4.0,2.2
7.0,Paul Pierce,3.0,2.0
7.0,Rudy Gay,4.0,2.0
8.0,Kobe Bryant,4.0,2.3333333333333335
8.0,Ricky Rubio,3.0,2.0
9.0,Mike Conley,3.0,2.0
9.0,Paul George,5.0,3.3333333333333335
10.0,Elfrid Payton,5.0,2.4
10.0,Russell Westbrook,5.0,3.0
11.0,Derrick Rose,7.0,3.0
11.0,Reggie Jackson,5.0,2.4
12.0,Jerryd Bayless,4.0,2.4
12.0,Bradley Beal,4.0,2.3333333333333335
13.0,Will Barton,3.0,1.7142857142857142
13.0,Karl-Anthony Towns,4.0,1.8333333333333333
14.0,Carmelo Anthony,5.0,2.4
14.0,Bradley Beal,5.0,3.0
15.0,Markieff Morris,6.0,3.0
15.0,Damian Lillard,3.0,1.6
16.0,Blake Griffin,5.0,3.5
16.0,Rudy Gay,9.0,3.4
17.0,Kent Bazemore,3.0,1.6666666666666667
17.0,Nicolas Batum,4.0,2.142857142857143
18.0,Jared Sullinger,3.0,2.1666666666666665
18.0,LaMarcus Aldridge,4.0,2.75
19.0,Tyler Johnson,3.0,3.0
19.0,James Harden,4.0,2.75
20.0,Khris Middleton,4.0,2.0
20.0,Jarrett Jack,4.0,2.5
21.0,Robin Lopez,2.0,1.7142857142857142
21.0,Tony Parker,2.0,1.2857142857142858
22.0,James Harden,4.0,2.5
22.0,Kevin Durant,5.0,3.0
23.0,Andrew Wiggins,5.0,2.6
23.0,Damian Lillard,4.0,3.5
24.0,JJ Redick,3.0,2.0
24.0,Markieff Morris,5.0,3.2
25.0,Paul Millsap,4.0,2.75
25.0,Chris Bosh,5.0,2.8333333333333335
